name,group,default value,readonly,user_visible,notes,Range min,Range max,v2_user_visible (intent),v2_readonly (intent),changed_vs_v2
ADSB_EMIT_TYPE,ADSB,14,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_ICAO_ID,ADSB,0,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_ICAO_SPECL,ADSB,0,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_LEN_WIDTH,ADSB,1,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_LIST_ALT,ADSB,0,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_LIST_MAX,ADSB,25,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_LIST_RADIUS,ADSB,10000,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_LOG,ADSB,1,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_OFFSET_LAT,ADSB,4,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_OFFSET_LON,ADSB,1,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_OPTIONS,ADSB,0,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_RF_CAPABLE,ADSB,0,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_RF_SELECT,ADSB,1,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_SQUAWK,ADSB,1200,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
ADSB_TYPE,ADSB,1,True,False,"hidden (GOBJECT_HIDDEN group ""ADSB_"")",,,False,True,
AHRS_COMP_BETA,AHRS,0.1,True,True,,,,False,True,user_visible False->True
AHRS_EKF_TYPE,AHRS,3,True,True,,,,False,True,user_visible False->True
AHRS_GPS_GAIN,AHRS,1,True,True,,,,False,True,user_visible False->True
AHRS_GPS_MINSATS,AHRS,6,True,True,,,,False,True,user_visible False->True
AHRS_GPS_USE,AHRS,1,True,True,,,,False,True,user_visible False->True
AHRS_OPTIONS,AHRS,0,True,True,,,,False,True,user_visible False->True
AHRS_ORIENTATION,AHRS,8,True,True,,,,False,True,user_visible False->True
AHRS_RP_P,AHRS,0.2,True,True,,,,False,True,user_visible False->True
AHRS_TRIM_X,AHRS,,False,True,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal,,,False,True,"default -0.00383982->(blank, not seeded); readonly True->False; user_visible False->True"
AHRS_TRIM_Y,AHRS,,False,True,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal,,,False,True,"default -0.00364908->(blank, not seeded); readonly True->False; user_visible False->True"
AHRS_TRIM_Z,AHRS,,False,True,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal,,,False,True,"default 0->(blank, not seeded); readonly True->False; user_visible False->True"
AHRS_WIND_MAX,AHRS,0,True,True,,,,False,True,user_visible False->True
AHRS_YAW_P,AHRS,0.2,True,True,,,,False,True,user_visible False->True
ANGLE_MAX,ANGLE,3500,False,True,"HARD CLAMPED 2000..3500 - out-of-range PARAM_SET rejected, stored value scrubbed at boot",2000,3500,False,False,user_visible False->True
ARMING_ACCTHRESH,ARMING,0.75,True,True,,,,False,True,user_visible False->True
ARMING_CHECK,ARMING,540146,False,True,,,,False,False,user_visible False->True
